i,j,x,p,F
1,56,-9.899497487437186,-4.371859296482412,-5.720815130931044
1,57,-9.899497487437186,-4.271356783919598,-6.715739501527743
1,58,-9.899497487437186,-4.1708542713567835,-7.710663872124442
1,59,-9.899497487437186,-4.0703517587939695,-8.705588242721149
1,60,-9.899497487437186,-3.9698492462311554,-9.700512613317848
1,61,-9.899497487437186,-3.8693467336683414,-10.695436983914554
1,62,-9.899497487437186,-3.7688442211055273,-11.690361354511253
1,63,-9.899497487437186,-3.6683417085427132,-12.685285725107953
1,64,-9.899497487437186,-3.567839195979899,-13.680210095704659
1,65,-9.899497487437186,-3.467336683417085,-14.675134466301358
1,66,-9.899497487437186,-3.366834170854271,-15.670058836898058
1,67,-9.899497487437186,-3.266331658291457,-16.664983207494764
1,68,-9.899497487437186,-3.165829145728643,-17.659907578091463
1,69,-9.899497487437186,-3.065326633165829,-18.654831948688166
1,70,-9.899497487437186,-2.964824120603015,-19.64975631928487
1,71,-9.899497487437186,-2.8643216080402008,-20.64468068988157
1,72,-9.899497487437186,-2.7638190954773867,-21.639605060478274
1,73,-9.899497487437186,-2.6633165829145726,-22.634529431074974
1,74,-9.899497487437186,-2.5628140703517586,-23.629453801671676
1,75,-9.899497487437186,-2.4623115577889445,-24.62437817226838
1,76,-9.899497487437186,-2.3618090452261304,-25.619302542865082
1,77,-9.899497487437186,-2.2613065326633164,-26.61422691346178
1,78,-9.899497487437186,-2.1608040201005023,-27.609151284058484
1,79,-9.899497487437186,-2.0603015075376883,-28.604075654655187
1,80,-9.899497487437186,-1.9597989949748733,-29.599000025251897
1,81,-9.899497487437186,-1.8592964824120592,-30.5939243958486
1,82,-9.899497487437186,-1.7587939698492452,-31.588848766445302
1,83,-9.899497487437186,-1.6582914572864311,-32.583773137042
1,84,-9.899497487437186,-1.557788944723617,-33.57869750763871
1,85,-9.899497487437186,-1.457286432160803,-34.57362187823541
1,86,-9.899497487437186,-1.356783919597989,-35.56854624883211
